,cluster
1030000010,1.0
1030003990,3.0
1030008100,1.0
1030008110,0.0
1030011660,0.0
1030011670,0.0
1030012590,0.0
1030012600,0.0
1030015030,1.0
1030015850,0.0
1030015860,0.0
1030018110,0.0
1030020040,0.0
1030020050,1.0
1030022420,1.0
1030022430,1.0
1030023300,1.0
1030023310,1.0
1030027410,1.0
1030027430,3.0
1030029810,0.0
1030031860,3.0
1030034260,1.0
1030035180,0.0
1030040190,1.0
1030040200,0.0
1030040210,1.0
1030040220,3.0
1030040250,3.0
1030040260,1.0
1030040280,1.0
1030040300,3.0
1030040310,1.0
1030040370,0.0
2030000010,0.0
2030003440,0.0
2030005690,0.0
2030006590,0.0
2030006600,0.0
2030007930,0.0
2030007940,0.0
2030008490,0.0
2030009230,0.0
2030012730,0.0
2030014550,0.0
2030016230,0.0
2030018240,0.0
2030020320,0.0
2030024230,0.0
2030026030,0.0
2030028220,0.0
2030030090,0.0
2030033480,0.0
2030037990,0.0
2030041390,0.0
2030048790,0.0
2030054200,3.0
2030057170,2.0
2030062920,0.0
2030065840,2.0
2030066850,0.0
2030068680,0.0
2030068690,0.0
2030071190,0.0
2030073570,0.0
2030073580,3.0
2030078740,3.0
2030085510,3.0
2030085530,0.0
2030085570,0.0
2030085580,0.0
2030085720,0.0
3030000010,0.0
3030001840,0.0
3030001850,0.0
3030003790,0.0
3030004740,0.0
3030005240,0.0
3030009130,0.0
3030009320,0.0
3030012270,0.0
3030017830,0.0
3030024310,0.0
4030000010,0.0
4030000880,2.0
4030000890,3.0
4030003020,1.0
4030006940,1.0
4030007850,1.0
4030007860,1.0
4030009880,1.0
4030009890,2.0
4030011690,1.0
4030015090,1.0
4030017020,1.0
4030017030,1.0
4030018350,1.0
4030022790,1.0
4030024190,1.0
4030025450,1.0
4030025460,1.0
4030029530,1.0
4030031750,1.0
4030033640,2.0
4030034510,0.0
4030037060,3.0
4030039450,3.0
4030048900,3.0
4030050210,2.0
4030050220,0.0
4030050230,0.0
4030050240,0.0
4030050270,1.0
4030050290,0.0
4030050320,2.0
4030050390,2.0
4030050410,2.0
4030050430,2.0
4030050450,2.0
4030050470,1.0
4030050980,1.0
5030000010,3.0
5030007690,2.0
5030015660,0.0
5030022500,1.0
5030031240,2.0
5030040360,0.0
5030049720,0.0
5030055960,2.0
5030067860,2.0
5030073410,1.0
5030073420,2.0
5030077640,1.0
5030081550,1.0
5030082270,1.0
5030085040,1.0
5030087590,2.0
5030087600,0.0
5030087690,2.0
6030000010,1.0
6030000740,1.0
6030000750,1.0
6030004470,1.0
6030004480,2.0
6030007000,0.0
6030007010,2.0
6030007950,0.0
6030007960,2.0
6030008320,2.0
6030009760,0.0
6030009770,2.0
6030011780,0.0
6030011790,0.0
6030014330,1.0
6030016970,0.0
6030017370,1.0
6030018850,1.0
6030018860,1.0
6030021870,1.0
6030026140,1.0
6030029280,0.0
6030032290,2.0
6030040460,0.0
6030040470,0.0
7030000010,1.0
7030008710,0.0
7030008720,0.0
7030014930,0.0
7030014940,0.0
7030021430,0.0
7030022240,0.0
7030022250,0.0
7030024600,0.0
7030027430,0.0
7030029460,0.0
7030033480,0.0
7030034520,0.0
7030034530,0.0
7030038340,0.0
7030042040,0.0
7030047060,0.0
7030047840,0.0
7030049270,3.0
7030049280,1.0
7030065760,1.0
7030070790,1.0
7030073620,0.0
8030000010,0.0
8030005510,0.0
8030005520,0.0
8030009560,0.0
8030009570,0.0
8030010700,0.0
8030016860,0.0
